listener,artist,genre,region,minutes,day,month,year,date,premium
Ben,Grův,Pop,US,113,17,8,2022,2022-08-17,False
Eli,Nova,Pop,US,218,5,6,2023,2023-06-05,False
Cy,The Larks,Jazz,EU,143,15,1,2021,2021-01-15,True
Ben,Sol Fina,Pop,EU,133,23,1,2021,2021-01-23,False
Hana,Blue Ember,Jazz,US,221,17,11,2023,2023-11-17,False
Ben,Echo Park,HipHop,US,115,31,3,2023,2023-03-31,False
Ada,The Larks,Jazz,UK,91,23,9,2022,2022-09-23,False
Fay,Nova,Pop,US,90,20,9,2023,2023-09-20,True
Gus,Riftwave,Rock,UK,211,8,10,2022,2022-10-08,True
Ben,Sol Fina,Pop,UK,182,25,7,2022,2022-07-25,True
Fay,Grův,Pop,JP,40,20,8,2021,2021-08-20,True
Eli,Nova,Pop,US,119,7,6,2023,2023-06-07,False
Gus,Sol Fina,Pop,EU,90,18,4,2023,2023-04-18,False
Ben,Riftwave,Rock,US,156,20,11,2021,2021-11-20,False
Hana,Sol Fina,Pop,JP,13,19,3,2023,2023-03-19,True
Eli,Sol Fina,Pop,JP,172,8,3,2023,2023-03-08,True
Gus,Nova,Pop,EU,179,15,4,2021,2021-04-15,True
Cy,Sol Fina,Pop,UK,55,25,6,2021,2021-06-25,False
Hana,The Larks,Jazz,US,37,14,10,2022,2022-10-14,True
Fay,The Larks,Jazz,EU,151,14,11,2022,2022-11-14,False
Ben,Nova,Pop,EU,62,22,12,2022,2022-12-22,False
Hana,Blue Ember,Jazz,US,226,13,2,2022,2022-02-13,False
Gus,Blue Ember,Jazz,UK,187,4,7,2023,2023-07-04,True
Cy,Marisol,Classical,UK,230,3,5,2022,2022-05-03,True
Eli,Riftwave,Rock,EU,129,14,8,2021,2021-08-14,False
Dee,The Larks,Jazz,EU,226,7,5,2021,2021-05-07,False
Eli,Echo Park,HipHop,UK,4,20,8,2023,2023-08-20,True
Hana,The Larks,Jazz,UK,70,14,2,2023,2023-02-14,False
Hana,Riftwave,Rock,US,1,21,5,2022,2022-05-21,False
Ben,Nova,Pop,US,163,18,8,2021,2021-08-18,False
Hana,Grův,Pop,US,123,16,4,2021,2021-04-16,True
Dee,Blue Ember,Jazz,EU,70,17,6,2021,2021-06-17,True
Fay,Sol Fina,Pop,UK,74,26,4,2021,2021-04-26,True
Gus,Grův,Pop,UK,155,3,8,2022,2022-08-03,True
Dee,Nova,Pop,US,44,5,8,2021,2021-08-05,False
Dee,Nova,Pop,US,124,20,5,2021,2021-05-20,False
Dee,Nova,Pop,UK,148,6,11,2021,2021-11-06,False
Gus,Riftwave,Rock,US,58,5,2,2023,2023-02-05,False
Dee,Nova,Pop,US,55,28,6,2022,2022-06-28,True
Cy,The Larks,Jazz,EU,86,18,6,2021,2021-06-18,True
Cy,Sol Fina,Pop,US,143,31,3,2023,2023-03-31,False
Ben,Grův,Pop,US,62,21,6,2022,2022-06-21,False
Dee,The Larks,Jazz,UK,92,24,7,2021,2021-07-24,False
Ada,Grův,Pop,EU,131,27,1,2023,2023-01-27,True
Ada,Blue Ember,Jazz,US,45,23,12,2023,2023-12-23,True
Fay,Blue Ember,Jazz,EU,137,15,8,2022,2022-08-15,True
Ada,The Larks,Jazz,JP,34,26,6,2021,2021-06-26,False
Eli,Blue Ember,Jazz,EU,35,5,12,2021,2021-12-05,False
Gus,Nova,Pop,UK,57,19,10,2022,2022-10-19,False
Fay,Sol Fina,Pop,EU,69,31,12,2023,2023-12-31,False
Dee,The Larks,Jazz,UK,8,15,10,2023,2023-10-15,True
Ben,Grův,Pop,UK,231,19,10,2023,2023-10-19,False
Hana,Grův,Pop,UK,74,1,7,2023,2023-07-01,True
Gus,Riftwave,Rock,US,194,22,9,2022,2022-09-22,False
Eli,Echo Park,HipHop,US,217,11,12,2022,2022-12-11,False
Ada,The Larks,Jazz,UK,193,15,3,2023,2023-03-15,False
Ada,Sol Fina,Pop,US,200,23,2,2023,2023-02-23,True
Cy,The Larks,Jazz,UK,25,1,12,2022,2022-12-01,False
Ben,The Larks,Jazz,UK,90,27,5,2021,2021-05-27,False
Gus,Marisol,Classical,JP,180,22,8,2023,2023-08-22,True
Ben,Nova,Pop,US,139,11,1,2021,2021-01-11,True
Cy,Marisol,Classical,UK,2,12,4,2022,2022-04-12,False
Hana,Blue Ember,Jazz,UK,137,21,4,2022,2022-04-21,True
Gus,Riftwave,Rock,US,194,27,12,2023,2023-12-27,True
Ben,Riftwave,Rock,US,199,9,4,2021,2021-04-09,True
Dee,Sol Fina,Pop,US,93,5,6,2022,2022-06-05,True
Eli,Vantablack,Rock,US,57,27,1,2022,2022-01-27,False
Fay,Vantablack,Rock,US,75,17,4,2021,2021-04-17,False
Hana,Echo Park,HipHop,UK,72,2,9,2021,2021-09-02,True
Gus,Vantablack,Rock,UK,84,8,4,2022,2022-04-08,False
Hana,Sol Fina,Pop,US,73,1,10,2023,2023-10-01,True
Ada,Nova,Pop,US,110,2,3,2022,2022-03-02,True
Ben,The Larks,Jazz,US,10,22,8,2023,2023-08-22,True
Eli,Marisol,Classical,UK,67,15,3,2023,2023-03-15,False
Ada,Riftwave,Rock,US,76,16,6,2023,2023-06-16,False
Cy,The Larks,Jazz,UK,37,24,7,2023,2023-07-24,False
Ben,Echo Park,HipHop,US,211,21,2,2023,2023-02-21,True
Hana,Nova,Pop,US,163,15,3,2023,2023-03-15,True
Ada,Riftwave,Rock,JP,219,18,6,2021,2021-06-18,True
Ben,Nova,Pop,US,135,25,2,2023,2023-02-25,False
Ben,Blue Ember,Jazz,US,27,22,2,2021,2021-02-22,True
Ben,Nova,Pop,US,218,19,3,2023,2023-03-19,False
Eli,Echo Park,HipHop,JP,110,18,12,2022,2022-12-18,False
Cy,Vantablack,Rock,UK,165,9,4,2023,2023-04-09,False
Hana,Grův,Pop,UK,92,5,12,2022,2022-12-05,False
Cy,Echo Park,HipHop,JP,119,8,2,2022,2022-02-08,True
Eli,Sol Fina,Pop,US,118,9,2,2022,2022-02-09,False
Fay,Vantablack,Rock,JP,69,15,10,2022,2022-10-15,True
Fay,Nova,Pop,US,134,2,6,2022,2022-06-02,False
Gus,Nova,Pop,UK,177,8,1,2022,2022-01-08,False
Ben,Sol Fina,Pop,UK,5,20,6,2022,2022-06-20,True
Eli,Nova,Pop,US,32,11,8,2022,2022-08-11,False
Gus,Nova,Pop,JP,203,20,9,2021,2021-09-20,True
Gus,Blue Ember,Jazz,US,137,30,11,2022,2022-11-30,True
Eli,The Larks,Jazz,JP,234,11,12,2021,2021-12-11,False
Fay,Marisol,Classical,US,146,21,10,2021,2021-10-21,False
Gus,Echo Park,HipHop,UK,157,4,4,2022,2022-04-04,False
Eli,Marisol,Classical,JP,216,24,4,2021,2021-04-24,False
Hana,Riftwave,Rock,US,159,23,10,2022,2022-10-23,False
Ben,K.Low,HipHop,JP,80,15,3,2023,2023-03-15,True
Cy,Nova,Pop,UK,127,13,11,2023,2023-11-13,True
Ada,Echo Park,HipHop,EU,57,7,11,2021,2021-11-07,False
Ada,Riftwave,Rock,US,81,13,8,2022,2022-08-13,True
Dee,K.Low,HipHop,UK,164,6,7,2022,2022-07-06,False
Ben,Grův,Pop,EU,36,12,3,2023,2023-03-12,True
Dee,Vantablack,Rock,UK,162,16,11,2022,2022-11-16,True
Dee,Marisol,Classical,US,141,3,6,2023,2023-06-03,False
Eli,Vantablack,Rock,US,75,21,7,2023,2023-07-21,False
Hana,Echo Park,HipHop,EU,11,5,5,2021,2021-05-05,False
Gus,Blue Ember,Jazz,US,170,24,1,2022,2022-01-24,False
Dee,Sol Fina,Pop,EU,198,17,12,2022,2022-12-17,True
Cy,The Larks,Jazz,JP,176,19,8,2022,2022-08-19,False
Gus,Vantablack,Rock,US,102,12,6,2022,2022-06-12,True
Ada,Marisol,Classical,US,157,9,7,2021,2021-07-09,False
Eli,Riftwave,Rock,EU,100,19,9,2022,2022-09-19,True
Dee,Blue Ember,Jazz,US,86,22,3,2023,2023-03-22,False
Ben,Grův,Pop,UK,79,12,2,2021,2021-02-12,True
Eli,Vantablack,Rock,EU,51,10,10,2022,2022-10-10,False
Cy,K.Low,HipHop,UK,233,20,9,2023,2023-09-20,False
Ben,Marisol,Classical,US,160,21,9,2022,2022-09-21,False
Fay,Vantablack,Rock,EU,42,10,11,2023,2023-11-10,True
Ben,Vantablack,Rock,UK,208,22,1,2022,2022-01-22,False
Fay,Sol Fina,Pop,US,37,4,1,2021,2021-01-04,True
Ben,Blue Ember,Jazz,UK,143,17,1,2023,2023-01-17,True
Dee,Sol Fina,Pop,EU,40,22,8,2021,2021-08-22,True
Gus,Marisol,Classical,EU,87,11,1,2021,2021-01-11,True
Ben,Grův,Pop,UK,159,17,7,2021,2021-07-17,False
Gus,Riftwave,Rock,US,240,20,10,2023,2023-10-20,True
Fay,Riftwave,Rock,US,239,6,5,2023,2023-05-06,True
Hana,Marisol,Classical,US,215,29,10,2021,2021-10-29,False
Ben,Vantablack,Rock,US,57,17,10,2022,2022-10-17,False
Fay,Sol Fina,Pop,JP,23,7,1,2022,2022-01-07,False
Hana,Marisol,Classical,US,218,14,7,2021,2021-07-14,False
Gus,Grův,Pop,EU,222,19,12,2023,2023-12-19,True
Ben,Marisol,Classical,US,67,11,6,2023,2023-06-11,False
Gus,Riftwave,Rock,US,5,3,2,2022,2022-02-03,True
Ada,Riftwave,Rock,UK,156,23,1,2022,2022-01-23,True
Eli,Grův,Pop,US,19,13,6,2023,2023-06-13,True
Dee,Riftwave,Rock,EU,10,20,5,2022,2022-05-20,False
Eli,Grův,Pop,JP,225,17,2,2022,2022-02-17,True
Eli,Blue Ember,Jazz,EU,119,1,3,2022,2022-03-01,False
Ada,Nova,Pop,US,27,5,5,2022,2022-05-05,True
Eli,K.Low,HipHop,EU,158,25,7,2022,2022-07-25,False
Hana,Sol Fina,Pop,US,89,13,2,2021,2021-02-13,False
Dee,Marisol,Classical,JP,129,10,6,2022,2022-06-10,True
Cy,Echo Park,HipHop,UK,216,27,4,2022,2022-04-27,False
Hana,Sol Fina,Pop,US,58,28,10,2021,2021-10-28,False
Ada,Marisol,Classical,US,156,25,1,2022,2022-01-25,False
Dee,Sol Fina,Pop,US,199,10,4,2022,2022-04-10,True
Eli,Grův,Pop,US,102,5,2,2022,2022-02-05,False
Dee,Marisol,Classical,JP,233,22,9,2023,2023-09-22,True
Hana,Riftwave,Rock,EU,108,2,8,2022,2022-08-02,True
Dee,Marisol,Classical,JP,111,5,7,2022,2022-07-05,True
Hana,The Larks,Jazz,US,213,15,10,2021,2021-10-15,False
Ada,Blue Ember,Jazz,UK,153,1,10,2023,2023-10-01,True
Fay,Grův,Pop,US,209,26,1,2021,2021-01-26,False
Eli,Vantablack,Rock,UK,190,26,8,2022,2022-08-26,True
Ben,Sol Fina,Pop,US,171,4,7,2021,2021-07-04,False
Ben,K.Low,HipHop,US,58,22,4,2023,2023-04-22,True
Fay,Grův,Pop,UK,96,19,2,2022,2022-02-19,False
Fay,Nova,Pop,US,208,18,11,2021,2021-11-18,False
Eli,Blue Ember,Jazz,UK,148,5,3,2021,2021-03-05,True
Ada,Marisol,Classical,EU,68,16,5,2023,2023-05-16,True
Eli,Marisol,Classical,US,79,11,3,2022,2022-03-11,False
Hana,Marisol,Classical,JP,187,17,10,2021,2021-10-17,False
Ada,Riftwave,Rock,UK,43,14,7,2023,2023-07-14,False
Dee,Blue Ember,Jazz,EU,27,22,1,2021,2021-01-22,True
Dee,Nova,Pop,EU,184,29,5,2022,2022-05-29,False
Hana,Vantablack,Rock,EU,70,25,6,2021,2021-06-25,True
Cy,K.Low,HipHop,EU,184,20,5,2021,2021-05-20,True
Dee,Vantablack,Rock,EU,129,24,1,2021,2021-01-24,False
Fay,Vantablack,Rock,UK,240,24,7,2021,2021-07-24,False
Ada,Echo Park,HipHop,US,126,4,11,2023,2023-11-04,False
Gus,Vantablack,Rock,US,209,3,5,2022,2022-05-03,False
Gus,Sol Fina,Pop,UK,205,31,12,2023,2023-12-31,True
Fay,Vantablack,Rock,US,51,20,10,2021,2021-10-20,False
Fay,Sol Fina,Pop,US,240,15,4,2023,2023-04-15,True
Fay,Sol Fina,Pop,US,179,9,4,2021,2021-04-09,True
Gus,K.Low,HipHop,UK,26,29,4,2021,2021-04-29,True
Hana,Blue Ember,Jazz,US,2,18,1,2021,2021-01-18,False
Dee,Echo Park,HipHop,UK,66,12,9,2023,2023-09-12,False
Dee,K.Low,HipHop,EU,4,6,1,2023,2023-01-06,True
Fay,Vantablack,Rock,EU,86,26,3,2023,2023-03-26,False
Ben,Riftwave,Rock,US,240,13,10,2023,2023-10-13,False
Gus,Marisol,Classical,UK,115,30,12,2021,2021-12-30,False
Gus,Vantablack,Rock,UK,6,3,3,2023,2023-03-03,False
Fay,Sol Fina,Pop,UK,119,4,7,2022,2022-07-04,True
Cy,Vantablack,Rock,EU,53,18,8,2022,2022-08-18,False
Cy,K.Low,HipHop,US,206,26,12,2022,2022-12-26,False
Dee,Grův,Pop,JP,22,30,5,2022,2022-05-30,False
Fay,Vantablack,Rock,US,185,27,1,2021,2021-01-27,False
Gus,The Larks,Jazz,EU,108,24,3,2021,2021-03-24,False
Fay,Echo Park,HipHop,UK,5,4,7,2022,2022-07-04,True
Hana,Vantablack,Rock,US,162,17,9,2022,2022-09-17,False
Hana,The Larks,Jazz,EU,110,13,3,2023,2023-03-13,True
Fay,Riftwave,Rock,US,186,19,9,2022,2022-09-19,True
Cy,Grův,Pop,EU,149,26,7,2021,2021-07-26,False
Eli,The Larks,Jazz,UK,189,6,2,2022,2022-02-06,False
Dee,Vantablack,Rock,US,111,1,5,2022,2022-05-01,False
Fay,Echo Park,HipHop,US,2,14,12,2023,2023-12-14,False
Gus,Vantablack,Rock,EU,32,7,8,2022,2022-08-07,False
Cy,Blue Ember,Jazz,US,111,27,11,2022,2022-11-27,False
Eli,Echo Park,HipHop,EU,96,17,3,2023,2023-03-17,False
Ada,Blue Ember,Jazz,EU,191,1,2,2022,2022-02-01,True
Fay,K.Low,HipHop,EU,99,23,11,2023,2023-11-23,False
Dee,Vantablack,Rock,US,207,10,1,2023,2023-01-10,True
Dee,The Larks,Jazz,EU,46,18,7,2023,2023-07-18,True
Eli,K.Low,HipHop,JP,93,1,4,2023,2023-04-01,True
Ben,Marisol,Classical,US,182,12,11,2022,2022-11-12,False
Eli,Nova,Pop,US,30,3,2,2021,2021-02-03,False
Fay,Riftwave,Rock,US,78,2,10,2022,2022-10-02,False
Cy,Nova,Pop,US,181,22,5,2021,2021-05-22,False
Ben,Nova,Pop,EU,142,23,10,2022,2022-10-23,False
Dee,The Larks,Jazz,UK,187,8,2,2023,2023-02-08,True
Ben,The Larks,Jazz,UK,124,20,8,2022,2022-08-20,False
Cy,The Larks,Jazz,US,207,4,12,2021,2021-12-04,False
Fay,Nova,Pop,US,211,7,3,2021,2021-03-07,False
Ada,Nova,Pop,US,234,5,1,2023,2023-01-05,True
Fay,Blue Ember,Jazz,EU,30,4,2,2023,2023-02-04,True
Ben,Vantablack,Rock,UK,142,8,6,2022,2022-06-08,False
Hana,K.Low,HipHop,US,28,24,2,2023,2023-02-24,True
Fay,Marisol,Classical,EU,55,4,5,2023,2023-05-04,True
Cy,Riftwave,Rock,US,73,16,7,2022,2022-07-16,False
Eli,Echo Park,HipHop,US,156,22,2,2021,2021-02-22,True
Ada,K.Low,HipHop,US,104,12,8,2023,2023-08-12,True
Ada,Nova,Pop,JP,208,27,5,2022,2022-05-27,False
Hana,Echo Park,HipHop,EU,72,7,1,2023,2023-01-07,False
Gus,Grův,Pop,UK,149,25,9,2023,2023-09-25,False
Ben,Nova,Pop,US,184,2,2,2022,2022-02-02,True
Cy,Marisol,Classical,US,236,13,11,2022,2022-11-13,True
Ben,The Larks,Jazz,UK,59,22,1,2021,2021-01-22,False
Dee,Echo Park,HipHop,US,177,28,8,2023,2023-08-28,False
Cy,The Larks,Jazz,JP,21,6,3,2021,2021-03-06,True
Cy,Marisol,Classical,EU,131,16,8,2022,2022-08-16,False
Eli,K.Low,HipHop,UK,100,21,1,2022,2022-01-21,False
Ben,Echo Park,HipHop,EU,231,9,2,2021,2021-02-09,False
Hana,Riftwave,Rock,JP,186,22,5,2022,2022-05-22,True
Fay,Blue Ember,Jazz,UK,223,22,10,2023,2023-10-22,True
Gus,Sol Fina,Pop,UK,205,2,7,2021,2021-07-02,True
Ben,Sol Fina,Pop,JP,99,17,11,2021,2021-11-17,True
Fay,Riftwave,Rock,US,177,27,7,2021,2021-07-27,False
Gus,Vantablack,Rock,EU,8,17,5,2021,2021-05-17,False
Ben,K.Low,HipHop,US,134,10,9,2021,2021-09-10,False
Gus,Vantablack,Rock,UK,12,19,9,2022,2022-09-19,False
Cy,Grův,Pop,EU,174,5,5,2023,2023-05-05,True
Gus,Nova,Pop,UK,233,26,1,2023,2023-01-26,True
Dee,Grův,Pop,UK,164,25,4,2023,2023-04-25,True
Gus,Marisol,Classical,UK,202,23,2,2023,2023-02-23,True
Ben,Echo Park,HipHop,US,57,24,2,2022,2022-02-24,False
Dee,Marisol,Classical,US,239,13,9,2023,2023-09-13,False
Cy,K.Low,HipHop,US,133,8,7,2021,2021-07-08,False
Ben,Echo Park,HipHop,UK,162,6,2,2023,2023-02-06,False
Cy,Sol Fina,Pop,UK,185,2,5,2021,2021-05-02,True
Dee,Riftwave,Rock,US,154,19,4,2023,2023-04-19,True
Ben,Echo Park,HipHop,EU,77,6,4,2021,2021-04-06,True
Fay,Echo Park,HipHop,US,147,25,8,2021,2021-08-25,True
Eli,K.Low,HipHop,UK,157,5,3,2022,2022-03-05,False
Gus,Grův,Pop,UK,206,31,1,2023,2023-01-31,False
Fay,Sol Fina,Pop,US,116,19,2,2021,2021-02-19,True
Ben,K.Low,HipHop,EU,121,9,10,2021,2021-10-09,True
Ada,Nova,Pop,UK,121,1,1,2022,2022-01-01,True
Dee,Sol Fina,Pop,US,28,12,3,2023,2023-03-12,False
Dee,Blue Ember,Jazz,JP,22,19,11,2023,2023-11-19,True
Ben,Echo Park,HipHop,EU,5,4,11,2022,2022-11-04,True
Gus,Vantablack,Rock,EU,160,10,7,2022,2022-07-10,True
Eli,Marisol,Classical,EU,101,4,1,2022,2022-01-04,False
Fay,Riftwave,Rock,JP,208,20,6,2023,2023-06-20,False
Ada,Echo Park,HipHop,US,169,28,4,2021,2021-04-28,False
Gus,Riftwave,Rock,UK,34,22,5,2021,2021-05-22,True
Ben,Marisol,Classical,UK,25,9,8,2021,2021-08-09,True
Dee,The Larks,Jazz,US,88,21,10,2021,2021-10-21,False
Dee,Grův,Pop,US,222,21,5,2022,2022-05-21,True
Gus,Grův,Pop,US,12,3,11,2023,2023-11-03,True
Cy,Grův,Pop,EU,45,14,12,2022,2022-12-14,False
Ben,Vantablack,Rock,EU,8,24,2,2022,2022-02-24,True
Cy,Blue Ember,Jazz,EU,100,20,8,2021,2021-08-20,True
Cy,The Larks,Jazz,US,238,12,12,2022,2022-12-12,False
Ben,The Larks,Jazz,US,165,5,10,2021,2021-10-05,False
Ben,Grův,Pop,UK,119,5,12,2023,2023-12-05,True
Ben,Sol Fina,Pop,UK,35,8,6,2022,2022-06-08,True
Dee,Riftwave,Rock,JP,86,27,8,2022,2022-08-27,False
Cy,Vantablack,Rock,EU,126,17,9,2023,2023-09-17,True
Dee,Marisol,Classical,JP,66,1,12,2021,2021-12-01,True
Fay,The Larks,Jazz,EU,170,1,6,2022,2022-06-01,False
Ben,K.Low,HipHop,JP,236,6,8,2022,2022-08-06,False
Hana,K.Low,HipHop,UK,50,24,10,2021,2021-10-24,False
Gus,Nova,Pop,US,61,1,3,2021,2021-03-01,True
Ben,The Larks,Jazz,US,31,7,11,2021,2021-11-07,True
Cy,Echo Park,HipHop,US,175,4,5,2021,2021-05-04,False
Ben,Nova,Pop,US,111,10,1,2023,2023-01-10,False
Cy,Marisol,Classical,US,69,8,1,2021,2021-01-08,True
Cy,Marisol,Classical,JP,53,13,12,2021,2021-12-13,False
Ben,Marisol,Classical,US,17,27,8,2023,2023-08-27,True
Ada,Grův,Pop,JP,115,15,9,2022,2022-09-15,False
Dee,Riftwave,Rock,EU,164,6,1,2023,2023-01-06,False
Fay,K.Low,HipHop,UK,57,3,1,2023,2023-01-03,False
Cy,Riftwave,Rock,EU,1,23,11,2021,2021-11-23,False
Gus,Blue Ember,Jazz,US,114,24,11,2022,2022-11-24,False
Cy,Grův,Pop,UK,163,31,8,2021,2021-08-31,True
Hana,Grův,Pop,US,83,27,11,2022,2022-11-27,True
Ben,Nova,Pop,JP,61,18,1,2023,2023-01-18,False
Eli,Sol Fina,Pop,US,38,18,8,2023,2023-08-18,True
Gus,Blue Ember,Jazz,US,180,4,10,2023,2023-10-04,True
Ada,Riftwave,Rock,EU,207,27,1,2021,2021-01-27,True
Hana,Blue Ember,Jazz,EU,185,24,11,2021,2021-11-24,False
Cy,Riftwave,Rock,UK,125,23,8,2022,2022-08-23,True
Dee,Marisol,Classical,UK,174,19,12,2021,2021-12-19,False
Fay,Grův,Pop,US,96,9,11,2022,2022-11-09,True
Fay,Vantablack,Rock,EU,6,25,7,2023,2023-07-25,True
Ada,Echo Park,HipHop,US,89,10,10,2021,2021-10-10,False
Gus,Marisol,Classical,US,169,6,9,2023,2023-09-06,True
Eli,Nova,Pop,US,156,24,8,2023,2023-08-24,True
Hana,Nova,Pop,US,238,28,9,2023,2023-09-28,True
Dee,Blue Ember,Jazz,US,240,22,3,2021,2021-03-22,False
Eli,Blue Ember,Jazz,UK,59,18,11,2021,2021-11-18,True
Dee,The Larks,Jazz,US,3,16,5,2021,2021-05-16,True
Hana,The Larks,Jazz,US,66,12,5,2021,2021-05-12,True
Gus,The Larks,Jazz,UK,211,28,2,2021,2021-02-28,True
Hana,Sol Fina,Pop,US,196,27,4,2022,2022-04-27,True
Eli,Vantablack,Rock,EU,24,6,4,2021,2021-04-06,False
Gus,Sol Fina,Pop,JP,39,20,11,2021,2021-11-20,True
Cy,Marisol,Classical,UK,136,11,12,2023,2023-12-11,True
Dee,Sol Fina,Pop,JP,159,26,8,2023,2023-08-26,False
Gus,Echo Park,HipHop,US,236,24,10,2023,2023-10-24,False
Ada,Echo Park,HipHop,US,182,10,2,2021,2021-02-10,True
Fay,Sol Fina,Pop,EU,51,25,12,2022,2022-12-25,True
Ada,Nova,Pop,EU,9,26,11,2022,2022-11-26,True
Eli,Echo Park,HipHop,EU,153,26,5,2021,2021-05-26,False
Dee,K.Low,HipHop,US,133,20,9,2023,2023-09-20,True
Dee,Echo Park,HipHop,EU,222,19,3,2022,2022-03-19,True
Dee,Vantablack,Rock,US,139,6,12,2023,2023-12-06,False
Dee,The Larks,Jazz,US,121,5,5,2021,2021-05-05,True
Dee,K.Low,HipHop,US,73,13,12,2022,2022-12-13,True
Dee,Grův,Pop,JP,21,24,5,2021,2021-05-24,True
Eli,The Larks,Jazz,US,211,7,11,2023,2023-11-07,False
Gus,K.Low,HipHop,EU,199,28,10,2022,2022-10-28,False
Eli,Marisol,Classical,UK,40,24,3,2021,2021-03-24,False
Fay,Vantablack,Rock,EU,169,24,8,2021,2021-08-24,False
Gus,Echo Park,HipHop,EU,88,29,1,2022,2022-01-29,True
Hana,Sol Fina,Pop,EU,105,15,1,2021,2021-01-15,False
Ada,The Larks,Jazz,US,204,10,1,2021,2021-01-10,False
Fay,K.Low,HipHop,US,203,11,10,2023,2023-10-11,False
Ben,Vantablack,Rock,UK,46,11,12,2023,2023-12-11,False
Ben,Marisol,Classical,US,74,11,8,2022,2022-08-11,True
Gus,Grův,Pop,US,198,16,9,2023,2023-09-16,True
Ada,K.Low,HipHop,US,221,19,12,2022,2022-12-19,False
Gus,Vantablack,Rock,US,19,31,1,2021,2021-01-31,True
Gus,Riftwave,Rock,US,201,22,2,2023,2023-02-22,False
Hana,The Larks,Jazz,US,118,20,1,2021,2021-01-20,True
Fay,K.Low,HipHop,JP,142,14,6,2023,2023-06-14,True
Gus,K.Low,HipHop,US,19,6,2,2022,2022-02-06,False
Ada,Vantablack,Rock,JP,164,4,6,2021,2021-06-04,False
Hana,Marisol,Classical,JP,163,11,10,2021,2021-10-11,False
Ben,The Larks,Jazz,US,160,19,1,2023,2023-01-19,True
Cy,Vantablack,Rock,EU,190,17,7,2023,2023-07-17,False
Ben,Vantablack,Rock,UK,228,17,9,2022,2022-09-17,False
Dee,Riftwave,Rock,EU,204,25,6,2021,2021-06-25,False
Fay,Nova,Pop,US,179,13,9,2023,2023-09-13,False
Cy,K.Low,HipHop,US,236,16,5,2023,2023-05-16,False
Gus,Grův,Pop,US,162,25,3,2022,2022-03-25,True
Eli,Grův,Pop,UK,162,31,8,2022,2022-08-31,False
Fay,Sol Fina,Pop,JP,131,22,11,2023,2023-11-22,False
Hana,Sol Fina,Pop,EU,185,18,2,2022,2022-02-18,False
Dee,K.Low,HipHop,EU,18,29,1,2021,2021-01-29,True
Cy,Riftwave,Rock,JP,122,9,6,2021,2021-06-09,False
Hana,Nova,Pop,EU,103,20,10,2022,2022-10-20,False
Eli,K.Low,HipHop,US,220,29,12,2023,2023-12-29,False
Eli,K.Low,HipHop,EU,18,22,3,2023,2023-03-22,False
Cy,Riftwave,Rock,US,155,8,11,2022,2022-11-08,True
Ben,Blue Ember,Jazz,US,45,20,12,2021,2021-12-20,True
Ben,Nova,Pop,UK,213,27,4,2022,2022-04-27,False
Ben,Sol Fina,Pop,JP,205,12,2,2021,2021-02-12,True
Ben,Grův,Pop,US,57,11,2,2022,2022-02-11,False
Fay,Sol Fina,Pop,UK,210,14,11,2022,2022-11-14,False
Ada,Marisol,Classical,US,120,19,9,2023,2023-09-19,False
Fay,Marisol,Classical,US,234,8,10,2023,2023-10-08,True
Hana,K.Low,HipHop,US,176,19,6,2023,2023-06-19,False
Gus,Riftwave,Rock,EU,9,24,1,2021,2021-01-24,False
Dee,Vantablack,Rock,EU,49,8,6,2023,2023-06-08,True
Ada,Vantablack,Rock,US,97,28,8,2021,2021-08-28,False
Gus,Nova,Pop,US,51,6,11,2022,2022-11-06,False
Ada,Marisol,Classical,US,32,3,11,2023,2023-11-03,False
Fay,Blue Ember,Jazz,US,235,31,8,2023,2023-08-31,True
Fay,Riftwave,Rock,UK,209,29,12,2022,2022-12-29,True
Ben,Echo Park,HipHop,EU,105,24,11,2021,2021-11-24,False
Fay,Vantablack,Rock,UK,52,25,7,2022,2022-07-25,True
Ben,Sol Fina,Pop,US,44,10,2,2023,2023-02-10,True
Ben,Echo Park,HipHop,UK,220,18,7,2022,2022-07-18,False
Gus,Grův,Pop,US,80,19,3,2022,2022-03-19,True
Hana,The Larks,Jazz,US,4,18,3,2022,2022-03-18,False
Cy,Sol Fina,Pop,JP,96,19,10,2022,2022-10-19,False
Hana,The Larks,Jazz,EU,110,9,2,2021,2021-02-09,False
Hana,Marisol,Classical,JP,150,29,12,2023,2023-12-29,False
Gus,Grův,Pop,JP,82,22,4,2021,2021-04-22,False
Ben,Echo Park,HipHop,UK,222,15,12,2023,2023-12-15,True
Cy,Sol Fina,Pop,JP,155,8,2,2021,2021-02-08,True
Fay,Grův,Pop,UK,237,16,7,2022,2022-07-16,False
Hana,Vantablack,Rock,US,89,3,4,2022,2022-04-03,True
Gus,Echo Park,HipHop,US,157,21,9,2022,2022-09-21,True
Dee,Blue Ember,Jazz,US,88,20,4,2022,2022-04-20,True
Ben,Grův,Pop,US,168,10,9,2023,2023-09-10,False
Hana,Sol Fina,Pop,US,179,19,1,2021,2021-01-19,True
Cy,Echo Park,HipHop,EU,78,16,12,2023,2023-12-16,False
Cy,Marisol,Classical,EU,226,25,1,2023,2023-01-25,True
Hana,The Larks,Jazz,UK,206,3,5,2023,2023-05-03,False
Eli,Nova,Pop,US,215,3,6,2021,2021-06-03,True
